Professor,ClassNum,CatalogNum,Title,Days,Time,Location
Vanessa Klotzman,16619,COMP 380L,Introduction to Software Engineering Lab,TuTh,08:30 PM - 09:45 PM,ONLINE
Vanessa Klotzman,16233,COMP 541,Data Mining,Th,03:00 PM - 05:45 PM,ONLINE
Vanessa Klotzman,16638,COMP 680,Advanced Topics in Software Engineering,We,07:00 PM - 09:45 PM,ONLINE
Launis Look,16587,COMP 333,Concepts of Programming Languages,MoWe,03:30 PM - 04:45 PM,JD1105
Launis Look,15783,COMP 334,Concepts of Programming Languages,MoWe,02:00 PM - 03:15 PM,JD1105
Mansoureh Lord,16621,COMP 482,ALGORITHM DESIGN,MoWe,12:30 PM - 01:45 PM,JD3520
Mansoureh Lord,16620,COMP 482,ALGORITHM DESIGN,MoWe,11:00 AM - 12:15 PM,JD1618
Mansoureh Lord,16570,COMP 541,Data Mining,Fr,11:00 AM - 01:45 PM,JD2216
Mansoureh Lord,16633,COMP 541,Data Mining,MoWe,09:30 AM - 10:45 AM,JD3520
Oscar Marin,20855,COMP 282,Advanced Data Structures,Fr,03:00 PM - 05:45 PM,JD2216
Oscar Marin,15927,COMP 484,Web Engineering I,MoWe,03:00 PM - 03:50 PM,JD2221
Oscar Marin,15955,COMP 484L,Web Engineering I Lab,MoWe,04:00 PM - 05:15 PM,JD2221
Oscar Marin,16101,COMP 584,Advanced Web Engineering,Th,03:00 PM - 05:45 PM,ONLINE
Yevgeniya Mushkatblat,20774,COMP 440,Database Design,Mo,07:00 PM - 09:45 PM,ONLINE
Yevgeniya Mushkatblat,16567,COMP 583,Software Engineering Management,We,07:00 PM - 09:45 PM,JD1538
Yevgeniya Mushkatblat,16199,COMP 583,Software Engineering Management,Tu,07:00 PM - 09:45 PM,JD2213
Esmaail M Nikjeh,16057,COMP 182,Data Structures and Program Design,Fr,10:00 AM - 12:45 PM,JD1538
Esmaail M Nikjeh,16058,COMP 182L,Data Structures and Program Design Lab,Fr,02:00 PM - 04:45 PM,JD1538
Esmaail M Nikjeh,16562,COMP 256,Discrete Structures for Computer Science,TuTh,02:00 PM - 03:15 PM,JD1600A
Esmaail M Nikjeh,16104,COMP 256,Discrete Structures for Computer Science,TuTh,09:30 AM - 10:45 AM,JD1600A
Esmaail M Nikjeh,16105,COMP 256L,Discrete Structures for Computer Science Lab,TuTh,11:00 AM - 12:15 PM,JD1600A
Esmaail M Nikjeh,16563,COMP 256L,Discrete Structures for Computer Science Lab,TuTh,03:30 PM - 04:45 PM,JD1600A
Felix Rabinovich,16301,COMP 584,Advanced Web Engineering,Fr,06:00 PM - 08:45 PM,JD1538
Zahid Rafique,16192,COMP 440,Database Design,MoWe,09:30 AM - 10:45 AM,JD1600B
Sanam Sabooni,20858,COMP 110,Introduction to Algorithms and Programming,TuTh,07:00 PM - 08:15 PM,ONLINE
Sanam Sabooni,20835,COMP 110,Introduction to Algorithms and Programming,MoWe,07:00 PM - 08:15 PM,ONLINE
Sanam Sabooni,20836,COMP 110L,Introduction to Algorithms and Programming Lab,MoWe,08:30 PM - 09:45 PM,ONLINE
Sanam Sabooni,20859,COMP 110L,Introduction to Algorithms and Programming Lab,TuTh,08:30 PM - 09:45 PM,ONLINE
Harutyun Sepetjyan,16299,COMP 484,Web Engineering I,TuTh,04:30 PM - 05:20 PM,JD1107
Harutyun Sepetjyan,16300,COMP 484L,Web Engineering I Lab,TuTh,05:30 PM - 06:45 PM,JD1107
Harutyun Sepetjyan,20433,COMP 488,ADV PRAC INFO TECH,TuTh,07:00 PM - 09:45 PM,JD1600A
Shantaram Vasikarla,16590,COMP 485,Human-Computer Interaction,MoWe,11:00 AM - 12:15 PM,JD1600B
Shantaram Vasikarla,16395,COMP 485,Human-Computer Interaction,TuTh,11:00 AM - 12:15 PM,JD1600B
"Yu, Senhua",16636,COMP 429,Computer Network Software,Fr,03:00 PM - 05:45 PM,ONLINE
"Yu, Senhua",20870,COMP 440,Database Design,Mo,06:00 PM - 08:45 PM,ONLINE
Kamran Zamanifar,16616,COMP 380,Introduction to Software Engineering,MoWe,04:00 PM - 04:50 PM,JD2213
Kamran Zamanifar,16391,COMP 380,Introduction to Software Engineering,TuTh,07:00 PM - 07:50 PM,ONLINE
Kamran Zamanifar,16572,COMP 380,Introduction to Software Engineering,TuTh,04:00 PM - 04:50 PM,ONLINE
Kamran Zamanifar,16393,COMP 380L,Introduction to Software Engineering Lab,TuTh,08:00 PM - 09:15 PM,ONLINE
Kamran Zamanifar,16573,COMP 380L,Introduction to Software Engineering Lab,TuTh,05:00 PM - 06:15 PM,ONLINE
Kamran Zamanifar,16618,COMP 380L,Introduction to Software Engineering Lab,MoWe,05:00 PM - 06:15 PM,JD2213
Kamran Zamanifar,16632,COMP 522,EMBEDDED APPS,We,07:00 PM - 09:45 PM,JD1600B
Bahram Zartoshty,16021,COMP 110,Introduction to Algorithms and Programming,MoWe,02:00 PM - 03:15 PM,JD1538
Bahram Zartoshty,16020,COMP 110L,Introduction to Algorithms and Programming Lab,MoWe,03:30 PM - 04:45 PM,JD1538
Bahram Zartoshty,16430,COMP 182,Data Structures and Program Design,MoWe,08:00 AM - 09:15 AM,JD1600
Bahram Zartoshty,16432,COMP 182L,Data Structures and Program Design Lab,MoWe,09:30 AM - 10:45 AM,JD1600
Bahram Zartoshty,16433,COMP 182L,Data Structures and Program Design Lab,MoWe,11:00 AM - 12:15 PM,JD1600
